"Offset","Length","Mnemonic","DataType","Name","Comment"
"0x0","0x1","??","undefined","",""
"0x1","0x1","??","undefined","",""
"0x2","0x1","??","undefined","",""
"0x3","0x1","??","undefined","",""
"0x4","0x1","??","undefined","",""
"0x5","0x1","??","undefined","",""
"0x6","0x1","??","undefined","",""
"0x7","0x1","??","undefined","",""
"0x8","0x4","undefined4","undefined4","",""
"0xc","0x1","??","undefined","",""
"0xd","0x1","??","undefined","",""
"0xe","0x1","??","undefined","",""
"0xf","0x1","??","undefined","",""
"0x10","0x8","char *","char *","unknown_uuid_1",""
"0x18","0x2","dw","word","",""
"0x1a","0x1","??","undefined","",""
"0x1b","0x1","??","undefined","",""
"0x1c","0x2","undefined2","undefined2","",""
"0x1e","0x1","??","undefined","",""
"0x1f","0x1","??","undefined","",""
"0x20","0x8","char *","char *","title_strptr",""
"0x28","0x8","char *","char *","also_title_strptr",""
"0x30","0x8","undefined8","undefined8","",""
"0x38","0x1","??","undefined","",""
"0x39","0x1","??","undefined","",""
"0x3a","0x1","??","undefined","",""
"0x3b","0x1","??","undefined","",""
"0x3c","0x1","??","undefined","",""
"0x3d","0x1","??","undefined","",""
"0x3e","0x1","??","undefined","",""
"0x3f","0x1","??","undefined","",""
"0x40","0x1","??","undefined","",""
"0x41","0x1","??","undefined","",""
"0x42","0x1","??","undefined","",""
"0x43","0x1","??","undefined","",""
"0x44","0x1","??","undefined","",""
"0x45","0x1","??","undefined","",""
"0x46","0x1","??","undefined","",""
"0x47","0x1","??","undefined","",""
"0x48","0x1","??","undefined","",""
"0x49","0x1","??","undefined","",""
"0x4a","0x1","??","undefined","",""
"0x4b","0x1","??","undefined","",""
"0x4c","0x1","??","undefined","",""
"0x4d","0x1","??","undefined","",""
"0x4e","0x1","??","undefined","",""
"0x4f","0x1","??","undefined","",""
"0x50","0x1","??","undefined","",""
"0x51","0x1","??","undefined","",""
"0x52","0x1","??","undefined","",""
"0x53","0x1","??","undefined","",""
"0x54","0x1","??","undefined","",""
"0x55","0x1","??","undefined","",""
"0x56","0x1","??","undefined","",""
"0x57","0x1","??","undefined","",""
"0x58","0x1","??","undefined","",""
"0x59","0x1","??","undefined","",""
"0x5a","0x1","??","undefined","",""
"0x5b","0x1","??","undefined","",""
"0x5c","0x1","??","undefined","",""
"0x5d","0x1","??","undefined","",""
"0x5e","0x1","??","undefined","",""
"0x5f","0x1","??","undefined","",""
"0x60","0x1","??","undefined","",""
"0x61","0x1","??","undefined","",""
"0x62","0x1","??","undefined","",""
"0x63","0x1","??","undefined","",""
"0x64","0x1","??","undefined","",""
"0x65","0x1","??","undefined","",""
"0x66","0x1","??","undefined","",""
"0x67","0x1","??","undefined","",""
"0x68","0x1","??","undefined","",""
"0x69","0x1","??","undefined","",""
"0x6a","0x1","??","undefined","",""
"0x6b","0x1","??","undefined","",""
"0x6c","0x1","??","undefined","",""
"0x6d","0x1","??","undefined","",""
"0x6e","0x1","??","undefined","",""
"0x6f","0x1","??","undefined","",""
"0x70","0x1","??","undefined","",""
"0x71","0x1","??","undefined","",""
"0x72","0x1","??","undefined","",""
"0x73","0x1","??","undefined","",""
"0x74","0x1","??","undefined","",""
"0x75","0x1","??","undefined","",""
"0x76","0x1","??","undefined","",""
"0x77","0x1","??","undefined","",""
"0x78","0x1","??","undefined","",""
"0x79","0x1","??","undefined","",""
"0x7a","0x1","??","undefined","",""
"0x7b","0x1","??","undefined","",""
"0x7c","0x1","??","undefined","",""
"0x7d","0x1","??","undefined","",""
"0x7e","0x1","??","undefined","",""
"0x7f","0x1","??","undefined","",""
"0x80","0x4","undefined4","undefined4","",""
"0x84","0x4","undefined4","undefined4","",""
"0x88","0x8","char *","char *","path_strptr",""
"0x90","0x4","undefined4","undefined4","",""
"0x94","0x1","??","undefined","",""
"0x95","0x1","??","undefined","",""
"0x96","0x1","??","undefined","",""
"0x97","0x1","??","undefined","",""
